72,6,14,14193;79,12,17,3450;53,14,28,3490;3,14,20,165;27,14,21,71068;90,20,29,1376;12,20,32,224055;7,26,30,900;27,28,35,44568;66,30,37,641375;12,32,43,47275;99,36,45,31224;91,38,41,94695;78,40,47,235794;99,46,55,1696;2,50,62,7392;47,50,59,3822;20,52,54,9464;73,54,66,20060;36,54,60,1194;
29,4,12,7970;9,8,16,39988;63,8,18,975;25,14,24,35286;78,14,30,3818;20,18,21,38164;31,22,34,314450;57,26,32,274212;46,32,45,6820180;69,32,36,288659;36,36,39,2506;42,36,44,713795;65,42,53,822;72,44,51,3;94,50,56,112005;10,50,59,801;17,52,63,250;28,56,69,21078;66,58,72,260945;35,62,65,3597220;
77,2,15,277;87,2,16,61100;50,4,14,921;94,6,11,1421244;54,8,13,33935;34,10,14,742221;61,12,17,68301;14,14,18,270;21,14,19,8883;80,18,21,76332;89,18,23,1421940;67,24,28,186560;88,28,37,1770;61,28,39,40274244;86,34,48,439524;84,38,41,648680;67,44,46,24640;51,50,58,121496;12,54,58,17060;31,54,61,4030;
13,0,5,1820;17,6,14,31460;49,10,24,108912;31,16,27,97640;60,20,27,146736;52,24,33,1736;30,28,33,6264;35,32,37,180900;76,38,39,263;14,44,52,164300;33,46,55,5607;56,48,53,776055;73,48,56,18847555;77,48,61,10858;5,48,58,299488;55,50,63,2072;70,50,55,34372;89,52,56,210230;15,58,68,11880;25,58,62,3144;
46,0,13,640;68,2,9,770;43,6,12,80;21,12,26,810;90,12,19,168;30,12,15,632800;1,16,19,170780;28,18,23,924;58,22,29,531;89,26,37,591310;49,32,39,8;45,34,40,36976;40,40,51,695874;70,44,54,6232;98,50,53,505;56,50,61,12677;44,50,55,81603;11,54,58,1017;49,56,62,80102;60,62,70,240;
21,6,15,8415;36,6,10,25778;48,6,13,37738;54,6,19,116;80,12,21,53616;41,16,21,14847;88,22,30,4266;14,28,31,16230;43,32,35,137592;73,36,39,252535;27,36,44,245492;92,40,44,15180;6,40,44,159;42,44,50,947250;73,48,52,1675;80,50,61,17964;69,52,56,37233;30,58,63,311288;34,58,73,891;7,58,66,28638;
85,2,7,337526;68,4,10,320;61,8,17,23724;51,10,24,2928;89,10,19,13410;34,14,25,15975;59,16,24,1112;79,18,22,7883;21,20,28,1242;90,26,39,122240;71,30,35,6102;21,32,44,70605;64,32,34,8436;84,36,39,51656;46,38,50,340;100,40,43,8328;99,42,55,744;47,42,53,41181;57,46,50,3204;34,50,54,100584;
10,0,8,21852;31,0,14,770;49,2,5,1128240;21,2,5,459;62,6,13,142970;28,12,16,306579;78,16,27,801802;24,18,23,416965;56,24,29,102438;86,30,38,10216;44,30,43,336069;35,30,35,1225800;9,32,42,4884;76,38,41,1564;96,40,53,4536;26,40,45,9976;1,44,52,128240;72,44,52,13949;6,44,53,15153;95,48,58,350;
28,2,5,78975;71,8,11,936;34,10,23,53631;58,16,27,63393;35,20,25,353200;85,24,29,476;5,24,29,903;72,30,34,393960;54,32,45,6605;13,36,41,330;29,42,54,2910;86,42,51,42276;41,46,49,98952;20,50,58,17632;58,50,59,238494;30,52,56,16;32,58,63,1287;19,60,69,10092;42,66,70,3685;52,72,86,38226;
94,0,5,9027;42,0,3,2840;79,2,7,35;5,4,18,20986;7,6,19,17505;3,6,11,1073985;42,8,20,5405;12,8,17,875;64,8,17,40420;25,8,21,92574;47,10,20,171227;96,16,20,205974;1,20,23,272120;19,24,36,66105;94,24,31,67716;51,26,29,59776;39,32,37,22905;56,34,40,70;4,38,46,3363;24,38,47,47595;
97,2,17,1674984;15,2,7,1830;61,6,14,17791218;59,10,24,1557608;37,14,21,2335214;62,14,24,7550;5,18,31,483;17,20,32,5960;67,20,31,1398000;66,24,28,11465;93,24,29,10359;100,28,42,17136;94,30,44,101889;27,32,40,2176;9,38,41,18232;20,40,53,1540;83,40,44,940;13,42,50,81714;8,48,58,2492;86,48,53,437836;
61,4,18,18018;63,10,18,561;43,14,18,5656;32,14,22,284796;56,20,27,5061;98,24,33,18830;8,26,38,9506;29,30,38,5380;27,32,36,12392;80,34,37,7848;39,34,42,8130;82,40,52,6840;6,44,47,28323;80,46,49,4320;50,50,59,3591;93,50,54,37890;74,54,60,19384;7,60,70,32553;18,64,68,97324;38,68,78,2200;
49,0,7,2168;65,4,16,2004;52,4,10,4995774;8,4,8,994;45,10,19,13930;88,14,17,73542;62,14,23,1410;7,16,29,58113;89,18,26,135360;46,22,25,330;100,22,26,2279984;81,22,25,8167;57,28,39,48213;67,32,46,5344970;74,32,36,3962;4,32,37,32530;6,36,47,2381262;55,42,55,309752;47,48,54,155680;86,54,58,9060;
