18,6,17,8492;78,10,13,216181;64,16,21,486;
98,0,15,200;63,6,13,92;29,10,19,17252;
64,2,13,247212;36,6,10,676286;28,8,17,5454;
89,0,13,12730;82,4,8,1036;17,8,19,10430;
96,0,4,14052;100,6,18,456;23,6,22,9800;
28,2,8,1128144;69,6,14,371;11,10,25,68820;
68,2,6,166910;24,2,10,780;94,6,10,23422;
17,0,4,1500;3,0,10,41620;100,0,10,48978;
97,6,8,1600;40,10,18,91;78,14,24,224;
28,2,11,5520;20,4,15,19942;18,6,13,4;
56,2,5,55824;7,8,18,102080;89,10,14,3960;
84,4,17,60759;27,8,15,1515;23,8,11,590;
71,4,10,448250;16,8,12,2745;98,12,16,13580;
76,0,8,91854;35,0,6,31647;22,4,8,164871;
17,4,9,85150;87,4,18,1474173;66,6,11,1850;
44,6,10,6543;33,10,23,39545;94,12,22,124537;
69,0,8,11715;45,2,13,3232;78,6,11,36253;
95,6,14,2325;59,12,25,324720;91,14,24,2925;
63,0,11,39042;23,4,16,58090;30,4,7,624;
10,2,15,6040;29,6,12,49180;55,8,12,100090;
78,2,12,646156;34,2,7,171160;61,4,6,135;
82,6,12,172;54,10,19,6864;63,16,19,79690;
82,4,10,8330;34,6,14,15870;3,10,15,785;
41,4,15,3690;24,10,17,306;20,16,22,18;
90,6,20,85295;44,6,11,325152;72,8,17,122013;
90,6,13,371110;99,12,20,50652;56,12,15,12138;
44,2,7,396;32,8,21,1426000;62,14,17,54219;
41,0,4,35875;27,4,7,186;25,10,23,1015;
66,4,8,899140;16,6,12,1179;19,10,21,8218;
60,6,10,4962;95,6,16,21400;64,8,17,234;
59,4,11,8788;8,6,17,21300;45,12,14,2448;
80,4,8,260;96,6,13,376812;5,8,21,7782;
39,0,6,1124775;69,4,11,26648;18,10,19,994;
40,6,14,584521;82,12,23,148;3,14,27,1296;
89,4,8,1135770;67,4,14,290;66,6,15,42470;
81,4,16,14348;28,6,10,214452;66,6,9,111600;
54,4,17,2616;93,8,12,177183;53,12,20,140;
11,0,10,30;22,6,11,1269;81,12,19,218124;
32,4,12,74070;31,10,22,54420;32,16,20,3210;
82,0,8,12;2,4,16,113875;59,4,16,108694;
3,0,3,6780;26,2,11,146832;64,8,21,83628;
18,6,14,15266;45,12,16,8504;54,12,20,17526;
23,2,11,7510;93,6,20,2664;88,8,18,216830;
16,6,11,2601;9,10,13,63;16,16,20,818010;
36,0,5,3742;53,6,12,63230;67,6,12,877400;
96,6,22,55962;77,12,22,155390;91,12,22,55854;
47,4,7,118;99,8,20,187989;50,14,25,11550;
47,0,9,230420;16,0,9,225;97,4,10,525;
80,6,10,68;88,10,20,21120;66,14,20,70520;
58,2,10,365584;2,6,11,3430;94,12,28,993797;
55,6,14,1104410;67,6,11,66420;70,10,17,144570;
96,0,3,3780;64,4,9,2478;79,6,10,38440;
99,0,7,159;89,2,9,400;22,8,22,463077;
55,0,4,59760;90,2,10,625080;43,2,7,15729;
12,0,7,28187;56,2,9,1776;89,8,15,2178340;
27,4,11,2888502;12,8,13,4890;72,12,25,7497;
93,4,18,591102;86,8,21,12774624;81,14,18,4;
30,2,7,26200;32,6,10,1420;56,12,18,640788;
86,4,8,132664;25,4,9,53200;13,4,6,69236;
90,0,12,13945;75,2,15,12240;17,6,10,779690;
61,0,9,19044;75,6,9,14535;50,6,10,298730;
59,6,19,49802;69,8,12,2472;96,12,22,22896;
14,6,10,815064;19,8,14,1161265;22,8,11,128961;
50,2,11,245340;44,6,10,14877;11,10,20,14902;
67,6,18,17890;13,6,15,974;22,6,9,2259;
90,6,9,5795;88,8,13,3220;67,10,17,1020;
51,2,11,15477;59,8,10,1088;71,14,17,292;
63,2,15,4542;100,2,7,13992;41,2,13,15540;
