386,6,15,344071;787,8,10,17164;209,12,20,30;831,18,30,39879;651,18,27,990;485,22,27,98538;549,24,34,298206;457,30,39,12048;259,36,41,1065;790,42,51,105048;417,46,61,64062;824,46,56,16684;358,50,60,1506;625,50,61,364;636,54,63,18444114;904,58,67,8117;944,58,63,299260;711,64,74,47084;993,64,78,715;303,66,73,20750;
732,6,10,938;433,8,12,2420616;980,14,28,190638;916,16,27,1;427,22,34,37725;115,24,27,400;668,26,36,66608;684,26,34,6995151;546,26,39,22405;485,26,29,682284;328,32,40,4896;133,38,42,560;316,42,53,325752;695,42,54,5076;263,42,46,370;319,48,55,11468;280,52,57,858;683,58,61,308564;513,58,69,7496;598,60,64,257127;
141,2,12,5116;939,8,18,1443861;355,10,23,266;638,10,19,2090;526,14,26,1292;684,16,20,1458999;324,16,25,6174;987,22,33,14580;383,22,31,36995;889,22,31,138726;440,22,28,478284;38,28,38,1566;380,32,37,263095;395,36,44,3195;718,38,44,72;468,44,47,1048;532,48,59,266476;389,52,63,511;537,52,56,5825;125,58,66,205288;
301,0,11,25550;369,2,8,1855;182,2,15,146785;983,6,15,406;906,6,12,46473;492,12,27,5125;528,12,22,440217;579,14,23,3680;840,18,21,36408;439,20,27,1256;901,26,37,200;248,30,37,192;397,30,42,75015;297,32,43,17190;246,36,49,63666;502,38,45,142440;501,38,47,649002;526,40,51,48112;198,42,56,10692;647,44,49,26172;
260,2,18,1524;817,6,12,430865;894,8,12,42717;631,8,17,4334;686,12,22,15190;84,14,28,79664;67,16,20,2044;825,22,30,3119;120,26,32,23950;831,28,42,1053;384,28,41,405;494,28,36,8010;203,30,39,12860;362,34,45,5425;996,34,39,28070;899,40,44,1871280;248,42,50,536;858,42,56,1998;701,44,48,12924;943,46,51,7515;
768,4,17,1490;521,10,20,7170;584,10,25,4449;68,10,19,16940;303,12,16,820;562,14,21,376;330,20,33,132010;520,26,40,45951003;265,28,33,51190;347,30,42,1770;686,32,36,863772;771,38,45,1173;331,44,53,15;96,44,47,23290;141,44,53,98240;992,48,52,20775;5,54,58,101;484,60,64,301;467,60,73,6201;375,64,72,714;
44,2,13,7100;942,6,14,3208728;304,8,20,728505;887,10,13,592;876,14,24,538623;66,20,21,1660440;722,22,27,590;250,26,32,1640;547,28,36,28564;932,34,42,245616;445,40,51,2744;436,46,60,465;558,52,56,3744;595,58,69,2144;144,64,71,1720;207,70,73,129;975,74,84,12576;898,74,79,10510;731,76,85,1897536;460,82,86,13300;
278,4,9,4160;352,6,9,1840;28,8,21,16076;633,14,21,2037528;767,20,30,360430;747,22,25,38409;137,26,32,101;521,32,38,603;739,34,40,2547;807,34,48,22245;219,36,44,151116;26,38,50,779835;425,44,57,2985;377,50,56,35;524,50,63,9210;815,56,64,65702;46,58,62,2720;999,58,69,649;920,58,73,51640;404,58,65,95876;
109,0,10,5693746;579,4,9,2030;64,4,19,29832;700,6,18,13487;998,12,15,63752;268,14,17,67120;254,20,32,12126;908,26,34,4028620;56,32,44,7472;44,36,46,2040;110,42,54,28215;387,42,55,52250;839,48,57,4683;723,54,66,1228950;664,58,70,2280;830,58,67,2358;522,58,71,71690;775,60,64,1456;334,60,63,9856;634,62,65,1162612;
998,6,15,160356;698,8,19,270;473,12,24,92968;950,12,20,879776;943,12,23,658602;470,18,25,35820;187,18,22,4207;815,18,27,97587;798,18,22,30734;539,22,30,930;659,26,31,93840;882,26,40,684567;967,30,41,891;780,34,41,206;862,40,46,73260;95,42,48,23130;878,46,55,576;442,52,62,731652;319,58,62,7764;889,60,72,276;
