47,2,12,238736;21,6,19,1110;22,8,16,119448;32,8,12,3165;18,14,29,621450;35,18,27,381265;44,24,38,55680;10,28,42,61360;16,28,36,360;17,32,39,22148;14,38,44,102;25,42,55,2340;12,44,47,93510;39,44,50,29004;37,46,51,76202;24,48,59,6408;46,48,61,136176;27,50,53,19628;2,54,59,115785;32,56,67,75;29,58,69,11604;
12,0,4,4660;46,2,11,118812;29,6,14,108138;20,8,12,156580;31,12,16,88572;15,12,18,324;3,14,21,207070;44,14,18,864690;13,20,32,23553;12,26,36,1925;46,30,38,12474;17,34,43,2444344;42,38,47,2912070;10,38,40,120;6,42,46,3426;47,42,47,927520;12,42,47,4115;25,42,49,346248;10,44,54,10500;4,44,53,2303;36,44,52,1390;
10,0,14,20750;26,4,12,80988;44,8,13,21020;32,8,24,238905;25,8,18,1713;15,10,21,234;3,16,27,25630;31,22,27,132;14,22,30,61191693;39,26,34,4060;35,32,38,60520;16,38,49,191568;22,38,44,212580;9,44,56,516;26,48,57,1716;14,54,61,2753;27,56,59,67032;15,62,73,21717;25,64,70,448602;31,68,75,14562;44,68,79,560;
15,4,14,217278;28,6,14,26136;23,12,15,7560;7,12,25,31890;14,18,25,6154;35,20,22,27640;18,22,30,17960;3,22,27,411730;41,22,24,18322;23,24,29,1168;12,28,43,30;46,34,49,281652;28,36,42,2064;40,36,51,1087146;25,36,40,5607;44,40,44,36115;21,44,52,169450;44,48,55,580140;26,48,61,16838;28,48,57,1192;8,48,55,60688;
24,4,12,1260;37,8,12,67319;23,10,16,15192;37,14,28,385;2,20,23,1584558;23,26,31,469408;40,30,36,322554;11,34,48,457225;33,34,46,33129;31,38,51,1104;43,42,51,47529;5,44,60,19088;2,50,53,272565;21,54,57,20706;14,60,63,144;33,66,78,185;28,68,74,117664;12,70,77,3835;6,74,85,108;7,78,87,125380;32,84,97,700;
42,0,2,0;26,0,6,320;6,2,11,54;45,4,12,2789;44,6,10,47705;21,10,17,34782;11,14,25,347515;45,18,29,57969;43,18,22,6921;28,18,24,15256;5,20,30,264892;31,20,29,14940;38,20,23,10675;13,20,25,935415;22,20,24,129546;7,20,26,67465;6,26,36,3000;38,26,35,114;32,32,43,19770;16,38,42,2160;20,42,55,247060;
6,6,18,1247967;43,8,21,579591;11,10,22,8295;42,16,30,665;28,18,26,201776;34,24,28,152420;15,24,37,344286;2,24,32,31959;10,24,28,41810;16,24,27,291564;12,28,39,85;23,30,37,10320;20,36,43,501970;38,40,48,367578;43,42,50,324;27,48,52,3542;13,50,62,2475;24,50,60,4452039;10,56,65,310;30,60,68,2420;27,66,70,1906;
38,6,21,527;2,12,25,129393;26,12,24,420;19,16,29,1243962;34,18,21,200;28,22,26,203352;13,26,39,54;30,30,41,680;1,36,41,26;6,40,45,90903;21,44,53,2234;10,48,59,22970;43,54,58,108828;17,54,62,1666;8,54,59,164;18,54,56,31572;5,56,67,4688;18,60,72,2154608;39,64,71,13324;34,68,76,19480;29,74,83,247734;
20,0,4,30;20,4,8,21900;22,8,11,2475;25,8,20,259164;30,12,20,8570;3,16,29,26260;34,18,22,86990;4,22,31,21434;36,26,31,8125;17,26,38,10472;12,26,33,14670;13,32,40,55404;21,38,42,32916;27,38,42,42690;20,42,50,30920;14,44,58,730;6,48,56,275304;35,54,66,16985;2,54,59,9;10,56,69,4524020;26,56,69,79120;
6,0,5,23181;28,4,18,54496;17,8,13,7;41,14,27,2030;38,18,22,85;21,22,27,24;10,24,37,80;11,24,27,471905;20,30,40,29140;35,30,36,722255;15,30,38,271764;29,30,33,2928;5,30,40,8036;3,30,35,491750;30,36,45,7810;23,38,41,212064;37,44,54,315;29,44,51,248;31,46,52,5772;12,52,63,151085;28,56,64,424;
44,2,15,165040;1,2,17,40561;34,6,14,681680;14,8,15,148619;39,12,20,29604;31,18,26,2934;2,22,26,39105;27,28,39,2620;32,32,42,4835;11,36,48,29585;20,40,46,266220;33,44,54,579;8,44,55,288;1,44,53,8996;32,48,62,670;17,54,63,1827;47,58,64,44808;46,64,75,9312;27,66,77,11208;13,72,80,927;14,72,84,2938;
5,4,15,544;38,10,13,82;39,16,30,26168;21,20,28,1798;43,24,32,26073;23,26,29,72;21,30,40,968;5,36,45,132188;47,38,43,3344;35,42,55,1950;27,48,57,7626;25,50,58,51534;8,56,66,172;12,60,63,78150;29,66,78,212666;9,70,82,79848;38,72,76,11748;37,74,78,147;39,80,86,3400;18,84,93,266;14,86,91,14414;
27,4,17,118;9,8,22,1227366;25,12,16,77877;14,18,30,12651;11,22,27,51740;42,24,29,4552772;23,30,39,9568;28,34,37,1168;40,34,43,1386;41,38,46,424;4,40,51,175812;1,40,54,15135;31,42,56,134418;39,48,59,416;11,50,58,8975;27,52,61,4580;18,54,63,936;41,58,62,1134;23,58,64,24624;4,62,74,483;32,66,78,29675;
