2,10,63,6;16,10,133,100;21,40,114,32;22,70,97,4;17,70,123,16;43,70,189,6;32,70,239,8;8,100,128,21;39,130,199,30;41,160,185,24;1,170,216,18;10,190,214,24;45,200,246,16;36,220,244,98;14,230,255,4;
28,0,75,72;14,20,98,12;2,40,88,5;40,40,112,14;25,70,118,6;5,80,104,15;7,90,117,36;28,120,184,12;4,130,154,27;2,160,190,1;6,160,211,45;46,160,285,6;31,170,196,5;20,170,269,20;7,180,207,12;
33,0,51,40;23,20,93,1;26,20,140,75;12,40,69,24;40,60,135,7;9,80,128,8;3,100,173,45;16,130,157,60;30,160,188,20;49,190,234,1;42,210,259,50;22,210,282,4;41,230,301,48;44,260,308,35;15,260,356,18;
16,20,68,70;8,30,77,14;14,30,155,4;44,40,91,15;26,70,110,15;35,90,142,8;15,100,150,54;2,120,186,4;19,150,175,7;1,150,243,72;46,180,250,10;35,200,274,24;45,220,243,48;41,240,290,48;40,250,299,14;
15,20,87,9;45,50,120,40;12,50,194,20;39,70,91,15;6,90,113,9;39,110,130,3;43,140,212,12;9,170,216,24;32,180,263,1;10,190,219,44;15,210,286,63;29,210,336,40;26,210,402,20;28,220,290,18;30,240,311,35;
39,20,43,3;34,20,66,1;25,30,80,9;43,60,134,18;1,60,182,90;46,70,96,18;23,90,139,5;35,90,162,16;11,100,170,90;46,110,159,8;15,110,206,18;39,140,165,9;37,160,183,27;15,160,264,1;31,160,307,20;
18,20,90,80;35,30,80,16;1,60,82,18;17,80,160,8;22,110,183,16;2,140,185,5;44,140,255,25;43,140,279,6;38,140,331,63;11,140,404,54;35,150,174,8;42,160,205,140;27,160,279,3;31,160,303,1;46,180,221,28;
27,30,54,1;24,40,115,63;12,70,94,64;36,80,128,14;17,90,164,2;38,100,148,9;13,100,177,8;22,120,145,4;37,140,193,45;3,150,218,40;41,150,271,60;11,160,209,36;29,180,205,40;46,190,212,14;10,200,224,16;
42,0,46,60;10,30,53,12;28,40,114,6;25,70,118,3;31,90,116,5;21,120,186,16;41,120,255,60;24,130,206,27;33,130,280,8;5,150,197,1;40,180,230,7;12,200,262,36;37,200,313,9;3,210,231,10;36,220,294,7;
23,30,74,4;4,60,85,9;27,60,129,12;46,70,140,4;44,70,209,20;1,70,259,27;19,100,122,7;36,100,189,7;4,130,185,81;20,140,169,16;21,160,232,128;32,190,258,24;5,220,270,6;9,230,278,48;2,230,302,3;
